individual_id,city_id,age_group,age,education,monthly_income,monthly_rent,commute_minutes,commute_satisfaction,wechat_contacts,friends_met_weekly,loneliness_score,job_satisfaction,housing_satisfaction,life_satisfaction,well_being_score,city_population,pop_group
3081,71,18-25,22,本科,6004.1,2111.9,21.5,9.2,59,4.9,3.3,4.5,9.4,6.3,5.3,690.93,7
3082,133,26-35,30,本科,6073.0,1220.4,14.9,10.0,16,5.6,3.2,6.9,10.0,4.3,5.6,238.31,3
3083,39,18-25,22,高中及以下,2502.4,694.8,11.9,9.2,26,5.2,2.6,2.7,8.9,5.4,4.5,180.7,2
3084,179,55+,60,本科,9939.1,3976.3,60.4,7.1,80,2.1,3.3,8.2,3.1,4.4,4.0,1808.04,9
3085,81,18-25,22,博士,16758.8,759.8,16.0,9.2,20,6.0,1.8,4.0,8.9,6.7,5.3,212.11,3
3086,34,55+,60,博士,23867.0,1978.0,19.8,8.6,28,6.7,2.9,6.9,9.1,4.1,5.3,337.83,5
3087,175,36-45,40,硕士,14369.3,1787.4,20.2,9.9,35,4.7,3.2,7.6,7.2,4.6,5.1,339.4,5
3088,84,18-25,22,大专,5449.6,1011.3,13.4,8.3,10,8.0,3.3,4.3,9.3,3.7,4.5,66.12,0
3089,140,26-35,30,硕士,9869.5,616.4,18.7,8.6,25,5.2,3.6,8.3,8.0,5.0,5.6,186.32,2
3090,125,55+,60,硕士,14403.9,3826.9,40.2,6.9,83,2.9,4.8,6.1,5.7,4.4,3.9,1326.71,8
3091,39,18-25,22,高中及以下,4970.6,575.6,14.0,8.4,20,5.1,3.6,4.4,4.7,5.2,3.6,180.7,2
3092,91,18-25,22,高中及以下,2233.3,2601.0,10.9,7.7,41,6.6,3.1,6.4,5.7,5.8,4.7,390.98,5
3093,167,46-55,50,硕士,15260.1,2888.4,42.0,8.7,49,4.8,4.4,4.3,4.0,5.3,3.3,989.1,8
3094,47,36-45,40,硕士,7005.5,2275.3,14.9,6.3,27,3.9,3.2,6.0,7.0,5.8,4.9,427.14,6
3095,112,18-25,22,本科,6387.8,1217.4,22.5,8.7,32,4.6,1.2,5.5,10.0,5.6,5.9,157.63,1
3096,113,46-55,50,硕士,16229.8,4862.7,54.4,6.1,65,2.3,5.8,5.0,4.0,6.9,3.7,1742.79,9
3097,177,26-35,30,博士,22851.1,1207.3,26.1,7.2,51,6.0,4.8,8.3,2.4,3.9,3.5,634.94,6
3098,125,26-35,30,大专,6955.6,2655.4,36.3,8.2,88,1.4,5.5,7.3,2.3,4.4,3.2,1326.71,8
3099,175,46-55,50,博士,15380.3,1024.7,26.4,9.0,29,6.5,3.2,6.5,6.3,3.9,4.3,339.4,5
3100,177,18-25,22,高中及以下,3691.2,2421.5,19.3,7.2,40,4.1,3.0,4.3,4.4,7.6,4.2,634.94,6
3101,98,46-55,50,高中及以下,3612.3,1633.8,18.3,8.9,10,5.5,3.6,3.9,6.5,4.9,3.9,149.17,1
3102,20,46-55,50,高中及以下,3070.9,3140.0,28.9,10.0,57,4.6,4.4,5.1,10.0,7.0,5.7,642.68,6
3103,179,26-35,30,博士,24692.9,5103.4,57.8,4.6,82,3.7,7.1,6.2,7.4,8.0,5.2,1808.04,9
3104,41,26-35,30,硕士,11008.0,1696.7,7.9,9.3,29,6.3,4.0,4.5,9.7,4.9,4.9,176.16,2
3105,115,36-45,40,硕士,13360.3,820.5,8.3,8.0,18,6.2,2.5,2.3,5.2,4.5,3.1,200.65,2
3106,31,26-35,30,高中及以下,3875.8,1951.0,41.4,9.7,46,4.9,3.7,3.9,5.2,6.7,4.0,946.03,7
3107,187,26-35,30,高中及以下,3511.9,200.0,8.2,8.2,40,3.9,3.4,5.3,7.4,7.8,5.4,137.99,1
3108,2,36-45,40,硕士,10015.6,1167.9,14.3,7.5,5,5.0,3.8,7.1,9.0,5.4,5.6,283.64,4
3109,73,36-45,40,高中及以下,4877.7,1998.6,24.7,8.9,44,5.4,5.3,6.7,5.8,7.1,4.8,709.56,7
3110,194,26-35,30,大专,4792.3,1471.7,14.4,8.6,9,6.0,2.5,5.7,6.9,5.3,4.8,176.48,2
3111,41,55+,60,硕士,12719.9,1542.3,20.0,9.4,26,5.8,4.1,7.9,9.3,7.1,6.4,176.16,2
3112,148,26-35,30,高中及以下,3550.5,818.5,18.9,8.9,20,6.5,2.6,3.8,5.8,7.3,4.5,250.12,4
3113,128,26-35,30,本科,7510.0,1057.7,13.6,9.7,28,6.1,2.1,1.6,9.9,6.8,4.9,163.96,2
3114,2,46-55,50,高中及以下,3812.7,1232.3,17.0,7.8,26,5.9,2.8,3.9,7.4,5.4,4.4,283.64,4
3115,177,36-45,40,高中及以下,4049.7,2473.5,29.7,8.3,36,4.1,4.9,6.7,4.8,5.9,4.3,634.94,6
3116,3,18-25,22,高中及以下,4971.1,2541.5,35.2,8.5,36,2.8,4.4,2.3,9.6,6.5,4.6,680.64,7
3117,145,26-35,30,高中及以下,3536.0,1443.2,18.8,9.4,42,7.4,2.3,5.1,6.8,5.0,4.5,324.35,4
3118,103,36-45,40,高中及以下,2724.5,1350.5,13.6,8.0,38,4.5,2.2,5.7,8.4,5.3,5.2,66.53,0
3119,9,36-45,40,硕士,11793.8,624.3,17.2,7.6,29,6.0,1.1,4.0,7.4,7.6,5.3,255.33,4
3120,106,26-35,30,大专,3877.6,2484.3,29.5,7.2,78,6.3,4.0,5.7,7.3,6.3,4.9,978.66,8
3121,138,18-25,22,本科,6205.4,1160.8,20.4,7.5,40,5.1,3.5,5.0,6.7,7.3,4.9,334.79,4
3122,7,26-35,30,硕士,10952.9,1736.0,20.0,7.9,49,6.0,3.8,3.7,7.9,4.6,4.1,319.72,4
3123,179,26-35,30,博士,19320.8,5326.9,60.3,8.2,83,1.6,5.5,7.2,6.3,5.1,4.5,1808.04,9
3124,73,18-25,22,硕士,11841.2,1977.6,27.2,6.9,36,6.0,5.9,5.5,7.6,4.3,4.1,709.56,7
3125,47,26-35,30,本科,6796.9,1442.1,22.1,8.3,53,3.2,5.6,6.9,8.5,7.4,5.7,427.14,6
3126,167,18-25,22,高中及以下,3956.8,2167.6,28.1,7.9,34,5.1,5.2,4.6,5.1,5.4,3.6,989.1,8
3127,91,18-25,22,高中及以下,2462.0,1562.9,11.0,7.5,59,4.8,3.2,3.1,6.7,4.0,3.5,390.98,5
3128,174,55+,60,高中及以下,2130.0,949.0,18.9,9.6,8,6.3,3.1,4.0,7.4,4.8,4.2,195.72,2
3129,69,36-45,40,硕士,10267.1,720.7,14.3,10.0,24,6.5,2.4,7.9,8.9,4.2,5.7,77.86,0
3130,122,36-45,40,大专,3761.4,1893.3,28.9,8.2,47,4.6,2.6,4.4,5.9,4.6,3.9,603.53,6
3131,192,26-35,30,硕士,12279.8,1110.8,19.8,8.4,29,6.5,2.1,5.0,5.2,3.6,3.6,183.85,2
3132,78,26-35,30,大专,5007.2,722.3,5.4,7.7,50,4.8,2.4,8.8,6.3,6.2,5.7,162.68,1
3133,113,26-35,30,硕士,19033.3,4076.2,58.2,6.3,87,2.6,6.3,6.6,4.3,5.7,3.8,1742.79,9
3134,164,18-25,22,本科,6397.5,426.7,15.9,9.5,48,5.2,2.9,7.3,9.9,5.8,6.2,388.92,5
3135,128,36-45,40,大专,6159.2,1521.4,16.8,10.0,17,5.3,2.7,6.4,6.7,7.0,5.4,163.96,2
3136,162,26-35,30,本科,7835.5,1073.0,14.9,7.3,25,6.0,3.0,5.8,9.1,6.6,5.7,472.76,6
3137,77,55+,60,高中及以下,3385.0,200.0,17.2,6.6,37,6.3,2.0,5.3,6.5,4.9,4.5,110.06,1
3138,91,26-35,30,大专,4505.9,1202.1,18.1,7.8,22,5.2,2.9,6.6,7.3,2.2,4.2,390.98,5
3139,3,46-55,50,本科,8759.5,2869.9,30.9,9.7,40,6.4,4.3,4.7,5.6,3.5,3.3,680.64,7
3140,164,26-35,30,本科,11168.7,1088.1,16.5,8.3,49,5.3,5.1,4.0,7.5,4.0,3.7,388.92,5
3141,118,55+,60,硕士,14131.3,1169.3,20.2,7.7,5,5.0,4.7,5.9,6.4,5.0,4.3,465.37,6
3142,118,26-35,30,本科,10886.1,1520.2,26.3,8.1,11,4.0,4.0,4.2,7.6,4.3,4.0,465.37,6
3143,73,55+,60,硕士,15292.7,2279.2,23.8,8.9,36,4.6,4.6,5.3,9.3,7.7,5.7,709.56,7
3144,179,46-55,50,高中及以下,5646.2,4114.0,60.1,4.3,86,1.8,6.4,6.9,5.2,4.5,3.8,1808.04,9
3145,145,26-35,30,大专,4102.4,1391.8,22.1,9.0,21,4.6,1.3,4.3,5.7,6.6,4.6,324.35,4
3146,7,55+,60,本科,8821.1,1705.3,14.7,7.6,74,5.1,2.2,3.6,4.2,6.9,3.9,319.72,4
3147,156,18-25,22,大专,7045.5,2682.4,46.7,7.8,38,2.2,4.7,6.9,4.6,7.3,4.7,958.89,8
3148,6,26-35,30,本科,7241.8,1872.6,35.5,8.1,66,4.8,1.7,2.6,6.4,1.9,2.9,719.97,7
3149,73,36-45,40,高中及以下,3682.2,2983.5,32.9,7.7,48,4.7,5.7,3.5,8.2,6.1,4.3,709.56,7
3150,105,46-55,50,大专,4101.2,200.0,14.7,9.1,40,6.1,2.3,4.0,9.0,5.3,4.9,222.31,3
3151,134,26-35,30,高中及以下,2619.4,200.0,10.1,9.4,19,6.1,4.4,4.6,6.0,6.5,4.3,59.18,0
3152,138,26-35,30,硕士,9150.8,940.8,22.8,8.5,38,4.5,2.4,1.6,6.2,3.8,3.0,334.79,4
3153,113,18-25,22,硕士,11945.8,4447.2,56.9,5.1,71,0.9,6.5,7.3,6.6,5.5,4.6,1742.79,9
3154,73,46-55,50,本科,10916.7,2449.5,24.9,7.1,51,3.0,4.4,5.1,6.4,3.6,3.7,709.56,7
3155,125,36-45,40,硕士,12109.5,4015.8,39.5,6.4,66,4.3,5.6,8.3,3.6,6.1,4.3,1326.71,8
3156,141,36-45,40,本科,9835.6,1793.0,20.1,8.4,28,3.8,2.3,5.0,6.7,4.4,4.3,548.48,6
3157,67,26-35,30,高中及以下,3665.3,1445.4,34.4,7.9,26,4.3,3.5,6.0,9.7,7.6,6.2,404.86,5
3158,124,26-35,30,硕士,14288.0,662.1,17.3,8.3,11,4.4,3.1,5.5,8.7,4.3,4.8,266.9,4
3159,113,36-45,40,大专,5741.4,4051.6,60.7,6.0,98,2.7,5.3,3.9,7.5,6.2,4.3,1742.79,9
3160,10,55+,60,大专,3834.1,1316.2,16.5,8.0,22,5.5,1.0,5.4,7.6,6.8,5.5,93.37,0
3161,169,18-25,22,硕士,11017.7,1161.7,13.6,8.5,22,6.3,2.0,4.5,8.1,5.1,4.8,69.84,0
3162,179,55+,60,本科,7237.0,5151.5,57.0,4.9,92,3.5,7.2,6.9,3.5,5.2,3.4,1808.04,9
3163,125,55+,60,大专,6081.9,3142.1,27.7,6.4,71,0.5,5.0,9.4,4.0,3.9,4.2,1326.71,8
3164,164,46-55,50,大专,5771.9,2637.3,13.7,7.9,42,4.5,1.8,3.9,5.4,6.3,4.2,388.92,5
3165,124,36-45,40,本科,6706.7,393.2,24.4,8.8,46,4.2,3.0,6.0,7.3,5.7,5.0,266.9,4
3166,113,36-45,40,本科,13673.7,4007.8,53.0,5.4,65,2.8,6.7,5.6,6.1,5.3,3.9,1742.79,9
3167,134,18-25,22,高中及以下,2901.5,1061.6,11.3,6.9,32,4.8,3.2,3.9,6.9,4.5,3.9,59.18,0
3168,125,18-25,22,硕士,11581.9,4703.3,38.4,7.4,82,4.8,5.1,6.1,7.1,6.4,4.9,1326.71,8
3169,145,26-35,30,高中及以下,3306.7,1689.7,15.3,8.2,60,5.1,1.9,4.3,6.6,5.4,4.4,324.35,4
3170,125,36-45,40,硕士,12121.4,3716.9,44.9,6.1,49,4.4,5.4,6.2,5.6,6.7,4.5,1326.71,8
3171,191,36-45,40,本科,8868.0,1528.3,12.9,7.8,35,6.3,5.0,5.7,5.4,7.3,4.5,349.46,5
3172,125,26-35,30,博士,13946.7,4576.9,43.3,6.7,71,4.5,5.6,5.9,4.0,5.5,3.6,1326.71,8
3173,91,46-55,50,高中及以下,4397.7,990.5,12.6,8.9,48,4.8,3.7,6.0,4.7,7.5,4.7,390.98,5
3174,6,18-25,22,硕士,10676.0,2982.9,37.4,7.7,47,5.5,4.3,5.4,8.2,5.5,4.8,719.97,7
3175,156,46-55,50,大专,5551.6,2998.9,33.4,8.8,29,2.9,6.4,5.7,4.4,5.9,3.7,958.89,8
3176,25,18-25,22,本科,7523.6,387.1,18.3,8.7,15,6.2,4.4,3.5,7.3,5.6,4.1,165.82,2
3177,118,55+,60,硕士,14397.1,2499.4,21.6,9.4,7,3.7,3.9,4.2,8.8,7.2,5.2,465.37,6
3178,2,46-55,50,硕士,11825.0,1308.7,14.4,8.1,14,4.8,1.7,4.8,4.3,5.0,3.8,283.64,4
3179,148,36-45,40,大专,6563.4,1460.9,22.0,9.4,48,4.1,3.1,3.8,6.8,6.4,4.4,250.12,4
3180,43,26-35,30,本科,7054.2,864.3,5.0,10.0,21,5.3,1.3,3.7,8.3,6.9,5.2,109.83,1
3181,75,26-35,30,本科,7930.3,1452.8,17.0,10.0,17,5.5,2.4,5.9,5.0,4.4,4.0,337.61,5
3182,154,36-45,40,本科,10171.4,1215.5,9.8,10.0,38,5.8,4.0,6.3,9.1,3.7,4.9,198.95,2
3183,124,46-55,50,硕士,11119.0,1513.2,16.0,9.1,18,6.7,3.8,6.5,6.6,6.5,5.1,266.9,4
3184,50,26-35,30,大专,5581.1,1147.3,12.7,9.2,5,5.9,2.7,7.0,8.5,6.2,5.8,205.22,3
3185,73,46-55,50,本科,11452.9,1855.9,26.7,7.4,50,3.3,3.8,6.3,6.9,6.7,5.1,709.56,7
3186,101,46-55,50,硕士,14646.8,489.9,10.6,6.5,5,6.9,3.6,4.3,7.7,4.8,4.3,97.45,0
3187,86,36-45,40,高中及以下,4582.5,1359.5,16.5,8.9,37,4.8,3.1,5.8,8.2,4.8,4.9,370.7,5
3188,125,36-45,40,硕士,11125.3,4045.7,41.3,8.7,85,3.3,6.0,7.2,5.6,4.8,4.2,1326.71,8
3189,91,26-35,30,本科,6908.6,1127.5,20.5,9.0,42,5.4,1.0,6.2,7.5,7.2,5.8,390.98,5
3190,122,26-35,30,高中及以下,3243.6,2666.2,27.8,8.0,24,3.6,5.1,5.7,6.9,3.8,4.0,603.53,6
3191,59,36-45,40,本科,9254.2,1541.8,23.0,7.2,34,6.4,2.8,4.4,7.3,7.6,5.1,393.68,5
3192,199,18-25,22,硕士,8580.4,937.7,8.6,9.6,22,6.5,2.4,4.6,7.1,6.4,4.8,47.32,0
3193,159,36-45,40,硕士,16682.4,1330.5,16.7,7.1,39,7.8,2.4,7.2,8.6,3.9,5.3,286.16,4
3194,86,36-45,40,本科,8667.1,2805.1,27.3,9.0,31,5.0,3.4,5.5,5.5,6.6,4.5,370.7,5
3195,191,26-35,30,本科,7574.4,1457.1,16.4,8.6,22,4.3,2.8,7.5,8.6,7.7,6.4,349.46,5
3196,145,26-35,30,高中及以下,3179.3,1013.9,19.1,7.9,30,4.4,3.9,2.7,7.2,5.1,3.7,324.35,4
3197,104,55+,60,硕士,11965.1,225.1,6.9,9.8,25,6.0,3.4,5.4,6.2,5.4,4.4,126.31,1
3198,51,46-55,50,本科,8865.9,488.4,17.2,9.5,33,6.3,2.6,5.4,10.0,7.2,6.1,100.98,0
3199,122,26-35,30,高中及以下,3252.3,2113.0,29.2,7.1,53,4.6,3.6,8.6,3.6,6.7,4.9,603.53,6
3200,73,55+,60,本科,7729.4,2360.5,25.4,5.9,44,4.3,2.6,4.7,7.8,5.4,4.7,709.56,7
3201,6,36-45,40,本科,8727.4,3141.6,34.1,8.4,38,3.7,4.0,6.3,7.5,5.3,4.9,719.97,7
3202,73,18-25,22,高中及以下,4638.7,1921.6,26.0,10.0,9,5.6,2.2,6.4,7.1,5.8,5.2,709.56,7
3203,3,36-45,40,大专,5415.2,1289.8,31.4,8.1,29,4.8,4.1,3.6,6.3,6.0,4.0,680.64,7
3204,113,26-35,30,本科,16624.2,4575.8,46.3,5.3,85,4.2,6.7,8.5,3.5,6.2,4.2,1742.79,9
3205,7,55+,60,本科,11830.4,763.1,15.5,9.2,23,6.4,3.0,4.4,10.0,4.8,5.1,319.72,4
3206,20,36-45,40,本科,9308.7,1613.7,29.8,8.1,24,4.0,2.5,4.5,5.5,6.8,4.4,642.68,6
3207,181,46-55,50,高中及以下,2725.6,981.0,14.2,10.0,12,3.7,2.4,2.6,8.8,5.1,4.4,62.98,0
3208,122,36-45,40,博士,16407.8,1867.6,29.4,7.1,24,5.6,5.2,7.6,8.3,4.3,5.0,603.53,6
3209,179,26-35,30,本科,10134.9,5344.2,51.6,6.2,75,1.8,6.7,10.0,6.6,8.8,6.3,1808.04,9
3210,12,18-25,22,高中及以下,3433.4,372.9,8.2,7.5,9,4.5,3.3,6.9,6.6,3.7,4.4,189.04,2
3211,195,36-45,40,硕士,12524.4,1714.0,18.7,8.3,37,6.2,2.2,7.1,6.4,5.2,5.0,218.18,3
3212,156,26-35,30,高中及以下,5314.6,2659.1,38.2,10.0,25,2.5,3.6,6.6,5.7,6.4,4.8,958.89,8
3213,166,18-25,22,大专,6474.8,1771.9,14.1,7.5,5,6.1,3.8,6.3,5.2,6.8,4.7,337.67,5
3214,179,26-35,30,大专,9950.5,4307.5,52.7,5.3,71,2.8,6.4,8.2,4.0,5.3,4.1,1808.04,9
3215,183,36-45,40,本科,4309.9,1990.1,21.0,10.0,36,6.2,2.8,5.3,8.8,7.5,5.8,240.44,3
3216,148,36-45,40,大专,4834.1,873.1,23.6,7.4,13,5.2,1.8,7.1,7.3,5.8,5.5,250.12,4
3217,125,55+,60,博士,18855.2,4555.8,39.5,7.2,63,3.3,5.1,9.2,5.4,5.5,5.0,1326.71,8
3218,29,26-35,30,高中及以下,3973.3,1596.4,11.1,8.8,45,6.3,2.4,4.5,7.6,6.7,5.0,110.86,1
3219,24,26-35,30,高中及以下,2508.1,945.6,11.6,9.8,9,6.3,1.7,5.4,7.9,6.5,5.4,86.11,0
3220,70,36-45,40,高中及以下,2551.6,1437.8,14.4,7.8,16,7.0,4.1,2.9,9.2,4.4,4.1,213.02,3
3221,90,36-45,40,高中及以下,3228.5,1172.9,7.5,8.5,34,6.5,3.5,8.1,8.5,6.1,6.0,163.54,2
3222,195,18-25,22,本科,6906.0,1793.2,16.7,9.8,18,5.3,4.6,3.6,8.8,1.9,3.4,218.18,3
3223,131,18-25,22,高中及以下,4184.1,466.3,14.6,7.7,26,5.8,2.3,3.7,6.3,7.3,4.6,158.95,1
3224,133,26-35,30,本科,7419.8,200.0,18.5,8.2,21,6.5,3.2,3.8,6.6,5.9,4.2,238.31,3
3225,116,26-35,30,高中及以下,2708.9,1080.9,10.3,9.9,20,5.6,2.8,5.9,8.4,7.7,5.9,143.35,1
3226,31,46-55,50,本科,7082.2,2548.2,33.1,8.0,60,4.6,3.9,6.8,6.8,6.0,5.0,946.03,7
3227,115,55+,60,高中及以下,3444.2,678.6,16.2,8.0,43,5.9,4.0,4.0,7.5,3.2,3.6,200.65,2
3228,63,36-45,40,本科,7460.6,460.7,7.7,9.3,5,5.6,2.6,5.9,7.1,5.1,4.8,44.87,0
3229,119,46-55,50,大专,6281.6,1662.8,15.7,8.0,34,6.3,1.9,4.1,8.4,4.3,4.5,314.8,4
3230,68,18-25,22,高中及以下,2799.8,1764.9,15.1,9.2,24,6.0,3.5,4.7,6.6,4.6,4.0,213.07,3
3231,113,26-35,30,本科,11329.3,3864.2,60.7,4.8,72,3.4,6.7,7.3,7.4,7.1,5.3,1742.79,9
3232,125,26-35,30,本科,9414.8,4260.7,40.4,6.6,76,3.8,6.1,6.5,3.1,3.4,2.8,1326.71,8
3233,106,18-25,22,高中及以下,2593.3,2739.8,30.8,7.2,66,4.1,5.7,4.5,6.0,5.4,3.7,978.66,8
3234,3,36-45,40,高中及以下,3567.6,1574.1,21.8,8.7,58,4.4,4.7,5.8,5.0,7.8,4.6,680.64,7
3235,36,36-45,40,高中及以下,2449.8,668.6,16.0,8.7,14,5.0,2.4,3.8,7.0,2.6,3.5,182.89,2
3236,125,36-45,40,本科,10414.4,4157.3,47.1,7.0,63,5.8,6.5,7.5,7.6,3.8,4.5,1326.71,8
3237,48,55+,60,大专,2937.2,2097.8,9.7,9.8,23,5.0,2.0,6.1,9.6,5.0,5.6,209.27,3
3238,48,36-45,40,硕士,11883.2,1096.5,11.9,9.1,20,6.6,4.0,5.2,8.0,2.3,3.9,209.27,3
3239,141,36-45,40,硕士,13841.8,2365.2,25.5,8.3,8,5.5,1.3,5.8,7.4,7.5,5.7,548.48,6
3240,93,18-25,22,高中及以下,2871.8,1180.3,10.4,8.8,21,5.7,3.2,5.9,5.9,3.5,3.9,106.95,0
3241,150,26-35,30,高中及以下,3905.0,1970.2,13.9,9.8,25,2.4,2.9,5.6,6.4,4.4,4.3,190.66,2
3242,20,26-35,30,硕士,9631.1,2070.0,35.7,6.5,50,4.8,1.8,7.6,7.6,6.7,6.0,642.68,6
3243,161,36-45,40,本科,6936.0,1125.5,12.5,7.2,44,6.5,2.3,5.0,8.6,4.1,4.7,326.06,4
3244,122,36-45,40,本科,6512.9,2714.2,23.7,7.4,46,4.5,5.6,5.9,6.5,3.6,3.8,603.53,6
3245,113,36-45,40,硕士,20119.7,4026.2,50.4,7.5,77,3.0,6.6,10.0,4.5,3.0,4.1,1742.79,9
3246,164,36-45,40,本科,5768.8,1025.5,16.2,8.8,41,5.5,3.1,6.9,8.1,5.0,5.3,388.92,5
3247,184,26-35,30,大专,5352.0,650.7,12.6,8.7,5,4.0,2.3,4.0,9.9,4.4,4.9,118.69,1
3248,135,36-45,40,博士,18330.2,2400.3,29.9,6.0,40,4.6,2.9,3.5,6.6,5.8,4.1,699.2,7
3249,31,36-45,40,硕士,13484.5,2561.1,38.9,7.5,63,3.6,4.4,6.7,6.4,3.3,4.1,946.03,7
3250,125,46-55,50,本科,8707.7,4591.1,46.9,8.4,53,1.7,6.7,7.4,4.5,6.3,4.2,1326.71,8
3251,0,26-35,30,硕士,13888.9,803.1,19.7,7.1,23,4.1,3.9,6.2,9.5,8.0,6.2,243.89,3
3252,73,26-35,30,高中及以下,4020.0,1947.3,27.7,7.3,25,3.9,3.2,7.1,7.9,4.9,5.2,709.56,7
3253,144,36-45,40,大专,5584.4,1742.4,8.3,8.0,32,4.8,3.0,6.0,8.5,5.4,5.3,192.46,2
3254,176,46-55,50,高中及以下,3883.2,429.0,21.1,7.2,5,7.0,3.0,5.2,9.3,4.6,5.0,150.36,1
3255,78,55+,60,高中及以下,3876.4,1593.1,6.3,8.4,48,5.1,3.0,6.6,8.9,6.3,5.8,162.68,1
3256,58,36-45,40,硕士,12440.8,779.4,6.7,7.8,5,5.5,3.1,6.6,6.9,6.7,5.3,206.7,3
3257,36,46-55,50,博士,15320.4,1580.1,14.9,8.9,22,5.2,2.5,5.4,10.0,5.0,5.5,182.89,2
3258,108,36-45,40,大专,4174.1,1369.2,12.4,9.6,32,6.9,3.0,4.5,8.7,3.6,4.4,192.01,2
3259,101,18-25,22,大专,2982.3,1233.6,9.3,8.9,25,6.3,3.7,4.4,7.3,4.0,4.0,97.45,0
3260,112,55+,60,大专,3775.3,1262.9,10.1,9.2,58,6.5,1.4,4.6,7.5,6.2,5.0,157.63,1
3261,64,36-45,40,硕士,13418.6,2003.0,23.8,8.3,22,5.9,2.5,4.1,9.4,3.2,4.4,334.46,4
3262,106,18-25,22,本科,10112.7,3730.6,35.4,7.6,64,4.8,5.0,5.3,8.2,3.5,4.1,978.66,8
3263,76,26-35,30,大专,4211.5,1866.9,18.9,8.4,17,4.6,3.4,7.7,6.6,3.5,4.6,161.91,1
3264,194,26-35,30,本科,6649.3,1490.8,13.3,9.5,48,6.1,2.4,6.3,10.0,5.8,6.0,176.48,2
3265,45,46-55,50,本科,6717.6,852.2,12.8,9.9,18,5.9,1.4,2.8,7.1,4.4,3.9,72.25,0
3266,28,36-45,40,高中及以下,4332.4,1127.7,10.8,10.0,36,6.5,3.5,8.2,8.4,6.8,6.2,81.4,0
3267,165,36-45,40,本科,5156.3,1600.9,5.0,10.0,55,5.3,4.3,6.6,10.0,6.2,5.9,224.25,3
3268,159,26-35,30,本科,8281.2,1330.3,24.4,8.8,14,5.0,3.5,6.2,6.8,3.8,4.3,286.16,4
3269,166,18-25,22,大专,5723.1,517.8,19.5,5.0,46,4.5,3.7,5.9,8.7,5.7,5.3,337.67,5
3270,112,26-35,30,高中及以下,3879.4,1912.0,22.9,6.6,27,5.4,4.1,4.9,8.9,6.5,5.2,157.63,1
3271,53,36-45,40,大专,6068.8,1461.5,11.3,8.7,39,6.0,3.0,3.8,7.9,3.7,4.0,273.6,4
3272,179,26-35,30,博士,19209.1,4864.7,58.7,5.0,52,0.8,6.2,6.5,7.6,3.9,4.3,1808.04,9
3273,162,18-25,22,高中及以下,4670.5,1882.5,22.0,9.0,31,4.9,4.3,5.2,9.8,4.7,5.0,472.76,6
3274,156,46-55,50,博士,25615.6,2417.6,47.9,7.8,38,4.9,3.2,6.3,7.5,7.0,5.5,958.89,8
3275,6,36-45,40,硕士,22700.5,2157.8,31.1,8.5,40,5.3,4.3,6.7,5.6,3.4,3.9,719.97,7
3276,108,26-35,30,高中及以下,3026.8,1160.5,19.9,8.4,25,6.8,2.8,6.4,9.2,7.3,6.1,192.01,2
3277,73,36-45,40,本科,7442.3,2502.3,30.1,6.4,56,5.0,3.4,5.2,6.8,6.7,4.9,709.56,7
3278,75,36-45,40,高中及以下,2464.7,1267.0,15.4,9.8,26,5.4,4.0,7.2,9.0,6.7,6.0,337.61,5
3279,30,36-45,40,大专,3802.7,942.1,8.1,8.8,32,6.1,2.5,5.3,7.0,5.5,4.7,81.31,0
3280,177,36-45,40,高中及以下,3870.7,2201.4,26.2,8.8,32,2.5,3.6,6.9,2.8,4.7,3.6,634.94,6
3281,57,26-35,30,本科,6241.4,2022.0,5.0,8.7,28,5.7,1.3,4.1,8.3,7.2,5.4,108.94,1
3282,6,18-25,22,本科,9737.7,2709.9,27.7,7.1,50,5.3,4.6,6.5,7.4,5.6,4.9,719.97,7
3283,106,26-35,30,本科,9438.9,2312.3,33.9,8.2,57,2.7,5.3,7.0,6.9,7.6,5.4,978.66,8
3284,115,36-45,40,大专,5334.0,1357.9,19.4,9.0,8,5.5,1.2,7.6,8.4,3.8,5.5,200.65,2
3285,77,36-45,40,大专,5120.6,287.4,16.3,7.6,6,7.2,1.2,5.9,6.7,5.7,5.1,110.06,1
3286,81,36-45,40,高中及以下,2891.3,952.4,17.2,7.3,38,3.4,1.0,6.8,6.8,7.0,5.7,212.11,3
3287,86,36-45,40,本科,12133.8,542.4,22.1,9.2,37,5.5,2.4,2.7,8.5,7.2,4.9,370.7,5
3288,141,55+,60,大专,4243.7,1942.1,23.4,6.5,62,4.2,2.1,5.5,5.6,6.2,4.6,548.48,6
3289,60,26-35,30,博士,14062.2,922.0,14.7,10.0,9,7.1,2.1,2.8,6.3,5.8,4.0,91.91,0
3290,182,36-45,40,本科,7542.9,589.2,12.2,8.3,25,7.8,1.8,3.8,10.0,5.6,5.3,50.86,0
3291,82,36-45,40,硕士,12415.2,2105.1,14.7,8.7,35,3.7,5.2,5.3,8.6,6.3,5.0,650.6,7
3292,91,36-45,40,大专,4724.6,1978.6,20.2,6.6,22,7.4,3.9,4.5,7.2,5.1,4.2,390.98,5
3293,32,18-25,22,本科,6980.0,540.6,11.4,9.2,19,6.4,3.0,8.3,7.6,6.1,5.9,146.42,1
3294,106,36-45,40,大专,7054.1,2572.9,38.6,8.9,60,4.9,2.9,6.4,4.8,8.0,5.1,978.66,8
